ID,FInitial,LastName,Section,Units,AveTime,GPA
2521,T,Shaw,1,12,5.563238208,3.38
2570,S,Grant,1,10,14.92142954,3.39
2579,M,Davis,1,15,25.35803203,3.41
2609,W,Adams,2,15,56.33695294,3.42
2619,J,Griffin,1,10,13.01814337,3.44
2632,T,Knight,2,10,19.58836128,3.45
2639,D,Alexander,1,13,24.92145222,3.46
2641,M,Martin,2,14,25.11036951,3.46
2696,J,Collins,1,16,33.80696158,3.47
2728,G,Freeman,1,17,50.46272839,3.47
2733,B,Evans,2,13,12.00539789,3.48
2740,K,Reed,2,15,12.3589814,3.49
2758,L,James,2,18,29.07091569,3.5
2762,A,Willis,2,11,26.17779809,3.51
2844,R,Hart,2,10,6.191171083,3.53
2883,D,Cole,2,13,36.72550409,3.56
2890,T,Palmer,1,10,36.8172116,3.57
2902,J,Hill,1,15,7.21129001,3.9
2924,S,Simmons,1,16,27.05284102,3.6
2943,S,Owens,1,18,0.772861923,3.6
3002,S,Bailey,1,13,19.27847117,3.6
3015,K,Gonzales,2,9,16.09395777,3.61
3017,C,Morris,1,17,29.64879429,3.61
3037,A,Graham,2,15,5.116090381,3.62
3084,S,Brown,1,10,26.35051615,3.65
3100,K,Henry,2,13,35.84344646,3.65
3101,C,Sullivan,1,12,35.87757337,3.67
3108,P,Reynolds,2,19,49.32761031,3.67
3118,A,West,2,19,55.42038019,3.67
3121,R,Gardner,2,16,15.14303435,3.68
3138,M,Washington,1,9,5.294559996,3.69
3157,A,Mcdonald,1,15,49.4377825,2.61
3175,J,Stephens,1,11,35.96845452,3.71
3185,E,Flores,1,12,12.57232815,3.71
3196,A,Hughes,1,12,18.95060391,3.71
3202,T,Grant,2,13,37.10198831,3.72
3274,K,Tucker,1,15,25.10379439,3.75
3292,J,Lewis,2,12,21.53461411,3.79
3337,S,Cole,2,17,8.368805427,3.82
3340,J,Edwards,1,9,18.39656421,3.87
3382,T,Davis,1,14,36.60281229,3.89
3407,K,Scott,1,16,14.61395014,3.9
3438,J,Johnson,2,10,17.80111596,3.9
3478,R,Rice,2,16,44.44248877,3.91
3480,J,Martin,1,10,33.33527081,3.93
3491,J,Ellis,1,11,19.10912146,3.94
